#Frame      Mode1    Mode2    Mode3    Mode4    Mode5    Mode6    Mode7    Mode8    Mode9   Mode10
     256  -26.249  -19.220   34.865   12.445   18.469    5.965   -2.768  -12.654    2.915   -4.878
     257  -17.181  -36.539   31.039   16.726   16.498    6.291   -4.473  -11.345   11.606    2.328
     258  -17.790  -33.870   27.895   11.206   15.851    2.469   -1.212  -14.614   -1.788    2.357
     259  -22.480  -31.347   24.806    9.666   14.442    9.987   -4.466  -11.778   -1.847    2.306
     260  -35.467  -23.981   17.919   14.838   13.807    4.192   -1.613  -11.024    3.277   -0.264
     261  -29.705  -16.625   29.698   15.688    6.674    5.799   -0.384  -13.992    2.172    4.896
     262  -19.838  -28.487   21.946    4.999   11.093    4.159   -2.901   -9.935    0.813    3.622
     263  -14.380  -38.769   27.337    7.353   13.545   -2.781    5.833   -6.933   -4.656    3.401
     264  -18.818  -31.008   27.448   11.478   12.829    7.696    0.247   -8.247   -3.446    1.552
     265  -11.275  -38.278   43.574    8.866    8.408    4.964   -5.204  -11.910    3.095    2.244
     266  -11.795  -35.257   36.079    6.663   13.677   11.806    0.655   -5.455   -6.717   -1.834
     267  -34.290  -33.569   18.894    3.949   15.503   16.468   -9.394   -8.844   -2.495    1.430
     268  -38.454  -16.897   20.914    3.950   14.074   12.337  -13.961  -16.903   -2.853    3.307
     269  -43.379  -22.264   25.927    1.878   11.972   14.203   -9.340  -11.906   -1.090   -0.526
     270  -44.928   -9.801   28.764    6.515   19.235   21.215  -17.592  -10.506   -6.040   -4.520
     271  -63.247    7.380    7.012   -4.425   11.753   29.227  -12.213   -2.715   -5.700   -4.497
     272  -59.419   18.447    9.452   -6.362   11.068   29.508   -9.620   -5.545   -5.935   -9.423
     273  -51.739    8.830    2.981    3.694   13.914   24.333   -6.122   -4.848    3.262   -1.569
     274  -50.636    4.896   10.976    2.682    9.231   29.299   -5.876    1.657   -0.595   -8.355
     275  -50.163   10.901   12.729    6.213   12.474   25.079   -5.179    0.329    0.084   -6.499
     276  -63.695   10.963    0.793    9.585   11.255   14.296   -7.540   -8.249   12.018    0.879
     277  -69.784   10.036    8.674    4.012   13.123   19.450  -13.019   -4.092    8.618   -5.881
