#Frame      Mode1    Mode2    Mode3    Mode4    Mode5    Mode6    Mode7    Mode8    Mode9   Mode10
     199   29.014  -56.909   13.792   -3.952    9.733    2.321    0.880    0.349   -7.330    9.205
     200   37.381  -52.250   14.573   -2.008   11.852  -12.798   -9.507   -7.971   -2.552    2.769
     201   39.090  -38.359    9.789   -5.965   -4.426   -7.827    0.953  -10.683   -6.392   -2.424
     202   17.226  -42.010    6.755   -1.811   -7.564  -13.652   -9.229   -9.211   -1.400    7.649
     203   41.021  -42.820   11.655    1.178   -4.278   -5.095    4.654   -0.788  -10.226    8.345
     204   43.797  -40.564   14.736   -1.491    4.632   -4.538   -8.971   -8.208  -10.939    1.584
     205   22.704  -36.052    6.444   12.134   -5.834   -7.940   -4.612  -10.219   -8.743    0.722
     206    3.883  -29.714   -4.106    1.902   11.604   -3.606   -5.625   -1.863   -7.951   11.227
     207    1.859  -21.335   -9.272   -2.237    2.983   -2.542   -2.008   -9.605  -10.914   -1.195
     208    4.646  -24.978  -13.471    5.352    6.633   -6.738   -0.179  -12.058   -8.956    8.312
     209   11.927  -15.604   -7.903   11.240   -7.106   -3.192    3.637   -3.130  -11.814    0.370
     210    8.251  -35.357   -0.099    4.079   -1.628   -8.596   -0.091   -8.352  -13.730    1.325
     211    5.487  -21.639  -11.447    9.119   -9.188   -3.985    8.073   -7.510   -7.059    6.239
     212    4.416  -23.185  -10.603    0.654   -2.209   -8.498    1.433   -8.545   -5.166   12.330
     213    7.374  -21.880  -11.496    4.244   -1.513   -0.894   -4.648   -8.955   -8.553   10.352
     214   11.344  -19.067   -8.660   12.235  -12.083   -0.641    0.292   -7.488   -9.491    3.884
     215   12.081  -15.812   -7.047   10.420  -11.677    1.643    3.545   -4.313   -8.415    3.891
     216   17.046   -9.183  -12.778   14.307   -3.673   -0.077   -1.529   -3.952  -15.711    6.824
     217   33.569   -6.791   -4.604   -2.952   -9.781   -2.755    1.601   -1.877  -15.121   14.547
     218   34.614  -24.055    3.615   -3.152   -3.106   -0.452   -3.959  -14.544   -8.482   10.625
     219   15.806   -9.763  -11.843    1.601   -1.707   -1.211   -7.286   -9.654   -7.319    7.858
     220   32.975  -15.247   -1.711   -1.524    1.621   -3.129   -2.241   -7.505  -11.968    9.844
     221   24.576  -12.031   -8.348    1.796    5.754   -7.684   -2.133   -8.242   -7.249    6.238
     222    7.238   -8.902  -17.064    3.946    4.577   -7.930    2.054   -8.381   -8.052    6.156
     223    6.811  -18.833   -8.626    7.179   -5.363   -3.013    0.262   -8.258  -12.215   -1.828
     224   12.756  -25.091   -4.860    0.217   -4.775   -6.304    5.683   -4.620  -10.298   10.948
     225   16.611  -29.041   -9.724    8.889   -2.442   -6.371    1.590  -10.836   -6.573    7.721
     226   29.622  -30.938   -2.697   -2.898    3.785  -10.916    7.938   -8.537   -7.956    6.711
     227   32.528  -14.838   -9.634    1.749  -11.983   -8.355   10.459  -12.204  -10.641   12.990
     228    8.111  -16.352  -16.129   -0.942   -4.753   -1.756    9.973   -3.147  -16.398    7.636
     229   15.021  -27.852   -0.682   -1.094   -8.102    3.889    6.483   -2.145  -14.930    8.825
     230   23.179  -23.643    7.537    1.380   -4.598    2.383    3.962    2.234  -15.263   10.879
     231   11.148  -31.624   -4.208  -10.625    1.684    0.505    9.144   -3.266  -11.641    4.937
     232    0.167  -26.279  -13.510   -8.988    9.582  -14.566    0.424  -12.497  -10.041    2.717
     233   15.267  -30.648   -4.611   -6.623    3.696    1.115    5.929  -10.239  -11.287    5.075
     234   10.685  -41.382   -0.031   -7.879    0.199   -0.726    5.581   -7.388   -6.988    6.111
     235    1.978  -26.095  -10.452    1.454   -0.841   -5.141   14.064   -8.009  -14.087    2.116
     236   12.489  -21.555   -6.455    5.722   -2.453    4.027   10.228  -16.593   -9.800   -4.311
     237   -1.251  -32.462   -5.130    2.753    2.298    8.025    8.141   -8.271  -10.163   10.208
     238  -13.607  -31.407   -4.541    0.538    3.293    6.793    0.929   -7.380  -17.295   -2.099
     239  -18.131  -42.992   -0.290   -4.322  -10.668   -0.522    9.430   -5.011   -9.796   -3.235
     240   -3.844  -46.114    4.864  -24.367    3.094    5.219    8.944    2.028  -10.186    8.770
     241   -4.715  -36.483    3.412  -11.381   11.375    0.066   11.843   12.367  -11.335    5.223
     242  -10.618  -48.552   -0.831  -15.597    8.212   -4.110   12.500    5.474   -4.306    2.261
     243    1.729  -26.093  -11.664   -0.010    0.247   -6.178   14.839   -3.053   -7.244    3.734
     244   12.938  -28.876   -4.448  -10.415   -1.025   -2.686   15.454   -1.896   -8.299    7.396
     245   17.093  -29.254    0.327   -7.893   -6.028    1.696   15.051   -3.744   -6.897    3.454
     246  -13.392  -29.657  -14.317   -8.188    1.264   -4.228    8.478   -8.196   -5.069    8.366
     247   -8.600  -33.949   -8.405   -8.656    1.460   -2.340   11.728   -8.824   -1.296    9.382
     248  -13.354  -36.700    0.320   -6.288    1.360    6.257    6.867   -3.508   -8.596    7.727
     249    1.132  -35.617   -0.115   -0.177    0.654    0.185    2.299  -11.375   -4.059   11.854
     250   13.457  -52.287   10.041  -16.794    2.802    5.105    3.579   -2.117   -8.680    9.931
     251    6.185  -45.916    2.966   -6.028    3.386   -0.954   12.752   -3.454   -2.576    2.576
     252    9.256  -38.115    2.421  -12.649    8.253   -3.076   11.901   -6.557   -3.542    3.445
     253   17.557  -37.969    7.136  -10.394    3.231   -8.808   14.516    1.508   -9.484    4.184
     254    3.096  -64.165   11.301   -8.985    5.052   -8.709   12.637   -3.284    3.645    2.011
     255    1.056  -57.367   13.907  -19.024   -3.164   -8.340   14.967   -2.898   -4.684    0.762
     256    3.946  -32.699   -1.824   -9.745    5.451   -0.595   10.020   -1.068   -5.792    7.989
     257   -6.542  -38.366   -0.606   -8.748   -3.361  -10.060   13.009    3.422   -8.413    1.110
     258   -7.725  -25.331   -6.859   -0.747   -2.696    0.960   15.314   -2.101   -7.689    4.374
     259   -4.200  -33.750   -6.127  -12.165    3.451   -3.377    9.452   -9.992   -4.421   -1.544
     260  -20.343  -56.867    1.272   -1.706  -10.003  -11.823   20.642    0.249    6.149    0.334
     261  -26.456  -40.480   -8.963   -5.192    1.356   -7.838    4.700  -11.145   -2.701    3.200
     262  -33.016  -35.933  -16.100    3.246    0.227   -7.443   11.035  -12.671    0.010    5.139
     263  -18.165  -28.991  -11.919    0.953    8.531   -3.297    8.330  -10.475   -2.289    1.550
     264  -20.823  -25.247  -16.171    6.056   -1.162   -0.723    6.678  -11.129   -3.017    4.214
     265  -13.290  -50.710    5.336    1.767   -1.777   -1.605    9.926    0.121   -3.753    4.126
     266   -6.801  -36.382   -2.617   -5.894    4.995   -3.170    6.124   -7.154   -2.652    7.519
     267    1.007  -21.121   -7.396    0.152    5.036   -8.563   13.612   -7.539   -7.194    4.865
     268   -3.964  -21.575   -6.610   -1.715    7.905    3.546    7.992   -6.274   -7.676    1.565
     269    4.666  -31.921    4.328    3.640    0.636   -0.796    0.674   -5.685   -6.827   -1.642
     270  -10.090  -30.499   -8.612   -2.873    3.106   -4.322   13.009   -1.974   -5.692    2.253
     271    4.974  -42.832    5.943  -10.585   -1.304   -5.813    9.556   -0.749   -6.808    4.223
     272   -4.093  -32.732   -2.853   -3.805   -4.424   -1.501   10.133   -7.960   -9.159   -6.321
     273    1.174  -31.132   -4.996   -1.966    6.165   -5.550   12.671   -5.942   -8.434   -0.151
     274    4.882  -36.074    0.993   -3.542    6.648    0.579    3.308   -5.987   -8.246   -3.930
     275   12.006  -49.981    8.490   -8.818    6.499    0.939   10.677   -3.554   -1.881   -3.469
     276    9.546  -48.483    9.546  -10.227   -0.190   -6.016   12.949   -0.459   -1.676   -5.058
     277  -14.122  -49.627    0.722   -8.298    3.951    0.283    8.778   -2.542   -0.700    2.094
     278   20.656  -49.395   13.630   -2.642   -3.399   -0.268   10.904  -10.127   -2.931   -6.792
     279   22.788  -24.133    3.688   -4.175   10.952   -5.852    0.645  -11.931   -3.416    0.838
     280   13.399  -20.051   -1.128   -2.740    9.445   -3.645   -1.183   -3.775  -12.514    2.085
